match_id,team_id,from_player_id,from_position,to_player_id,to_position,from_position_x,from_position_y,from_position_encoded
3788742,776,3959,Defender,5534,Defender,56.6,28.8,0
3788742,776,5534,Defender,6797,Defender,57.2,56.0,0
3788742,776,3570,Midfield,3959,Defender,70.6,50.8,3
3788742,776,3959,Defender,5527,Midfield,38.6,24.8,0
3788742,776,5527,Midfield,16554,Defender,58.5,11.0,3
3788742,776,16554,Defender,3959,Defender,67.6,3.7,0
3788742,776,3959,Defender,3570,Midfield,54.4,21.9,0
3788742,776,3570,Midfield,6797,Defender,59.7,45.3,3
3788742,776,6797,Defender,3043,Midfield,68.8,72.6,0
3788742,776,3959,Defender,3043,Midfield,73.8,40.2,0
3788742,776,3043,Midfield,5527,Midfield,83.7,40.1,3
3788742,776,5527,Midfield,16554,Defender,84.8,29.9,3
3788742,776,16554,Defender,5527,Midfield,113.0,21.3,0
3788742,776,5527,Midfield,21261,Forward,105.1,15.4,3
3788742,776,5527,Midfield,4447,Forward,77.5,2.8,3
3788742,776,4447,Forward,5527,Midfield,97.5,14.7,1
3788742,1835,38196,Defender,24455,Defender,15.0,32.6,0
3788742,1835,24455,Defender,38196,Defender,17.9,41.6,0
3788742,1835,38196,Defender,24321,Midfield,21.6,30.2,0
3788742,1835,24321,Midfield,16550,Defender,30.8,32.2,3
3788742,1835,16550,Defender,38196,Defender,36.3,4.0,0
3788742,1835,16550,Defender,13215,Midfield,71.6,2.8,0
3788742,1835,13215,Midfield,15416,Defender,74.5,63.4,3
3788742,776,6797,Defender,3570,Midfield,25.8,64.6,0
3788742,776,3570,Midfield,6797,Defender,43.8,51.2,3
3788742,776,6797,Defender,3043,Midfield,49.6,70.5,0
3788742,776,3043,Midfield,6797,Defender,55.1,62.9,3
3788742,776,6797,Defender,3043,Midfield,48.9,74.0,0
3788742,776,3043,Midfield,3959,Defender,49.3,61.1,3
3788742,776,3959,Defender,16554,Defender,56.6,26.0,0
3788742,776,16554,Defender,5534,Defender,69.9,5.1,0
3788742,776,5534,Defender,6797,Defender,52.1,41.0,0
3788742,776,6797,Defender,3043,Midfield,67.2,70.8,0
3788742,776,3043,Midfield,4447,Forward,69.5,55.3,3
3788742,776,4447,Forward,6797,Defender,80.0,47.9,1
3788742,776,6797,Defender,3043,Midfield,76.1,73.7,0
3788742,776,3043,Midfield,6797,Defender,77.5,63.2,3
3788742,776,6797,Defender,3043,Midfield,79.7,73.9,0
3788742,776,3043,Midfield,5527,Midfield,81.0,58.1,3
3788742,776,5527,Midfield,3570,Midfield,85.8,22.3,3
3788742,776,5536,Forward,6797,Defender,33.9,78.5,1
3788742,776,6797,Defender,3570,Midfield,34.5,70.1,0
3788742,1835,24455,Defender,26939,Defender,39.9,31.0,0
3788742,1835,26939,Defender,15416,Defender,41.3,50.5,0
3788742,1835,15416,Defender,24455,Defender,55.7,67.2,0
3788742,1835,24455,Defender,38196,Defender,41.5,38.6,0
3788742,1835,38196,Defender,13215,Midfield,46.4,17.8,0
3788742,1835,13215,Midfield,26939,Defender,49.2,32.2,3
3788742,776,6797,Defender,3043,Midfield,32.7,75.8,0
3788742,776,3043,Midfield,6797,Defender,55.6,48.9,3
3788742,1835,38196,Defender,24648,Midfield,34.6,2.1,0
3788742,1835,24648,Midfield,26939,Defender,36.3,20.0,3
3788742,1835,26939,Defender,8667,Goalkeeper,24.3,48.2,0
3788742,1835,8667,Goalkeeper,26939,Defender,9.1,44.1,2
3788742,1835,24648,Midfield,13215,Midfield,38.7,38.9,3
3788742,1835,13215,Midfield,16550,Defender,52.5,19.2,3
3788742,1835,16550,Defender,13215,Midfield,56.4,3.8,0
3788742,1835,13215,Midfield,24648,Midfield,51.1,15.4,3
3788742,1835,24648,Midfield,24455,Defender,43.3,27.5,3
3788742,1835,24455,Defender,26939,Defender,28.4,41.2,0
3788742,1835,26939,Defender,24648,Midfield,27.5,59.6,0
3788742,1835,24648,Midfield,8667,Goalkeeper,39.9,51.0,3
3788742,1835,24321,Midfield,13215,Midfield,52.8,43.1,3
